               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,            0.022922,            0.042322,           0.0063708,             0.79123,             0.85318,             0.86746,             0.63678,            0.022642,            0.019334,           0.0085502,            0.003584,            0.003584,            0.003584
                  66,            0.022613,            0.036636,           0.0059087,             0.79863,             0.83546,             0.86232,             0.62976,            0.022249,            0.019557,           0.0086653,            0.003457,            0.003457,            0.003457
                  67,            0.022176,            0.033381,           0.0048617,             0.83049,             0.81504,             0.86014,             0.62442,            0.022115,            0.019497,           0.0095313,           0.0033321,           0.0033321,           0.0033321
                  68,            0.021965,            0.035007,           0.0048503,             0.79755,             0.84049,             0.85796,             0.62435,             0.02179,            0.019494,           0.0080255,           0.0032093,           0.0032093,           0.0032093
                  69,            0.021843,            0.035411,           0.0049218,             0.79936,             0.84073,              0.8621,             0.61639,            0.022633,            0.019416,           0.0080184,           0.0030888,           0.0030888,           0.0030888
                  70,            0.021831,            0.027999,           0.0039849,             0.85149,             0.79747,              0.8571,             0.62205,            0.021957,            0.019341,            0.010221,           0.0029706,           0.0029706,           0.0029706
                  71,            0.021369,            0.031682,           0.0040877,             0.79157,             0.86826,             0.86899,             0.63768,            0.021874,            0.019534,           0.0089146,            0.002855,            0.002855,            0.002855
                  72,            0.020817,            0.029596,           0.0039037,             0.84207,             0.83728,             0.86117,             0.63558,            0.021975,            0.019738,           0.0091497,           0.0027419,           0.0027419,           0.0027419
                  73,            0.021771,             0.03645,            0.004275,             0.80507,             0.82593,               0.852,             0.63132,            0.021784,            0.020137,           0.0092397,           0.0026316,           0.0026316,           0.0026316
                  74,            0.020756,            0.029598,           0.0042194,             0.83502,             0.81806,             0.86289,             0.63539,             0.02187,            0.019884,           0.0088397,           0.0025241,           0.0025241,           0.0025241
                  75,            0.021418,            0.027923,            0.004242,             0.83019,             0.82903,             0.86096,             0.62515,            0.021958,            0.019953,           0.0080082,           0.0024195,           0.0024195,           0.0024195
                  76,            0.020561,            0.030782,           0.0041766,             0.80657,              0.8391,             0.85475,             0.62419,            0.021686,            0.019917,           0.0095827,            0.002318,            0.002318,            0.002318
                  77,            0.020426,            0.024201,           0.0051866,             0.83293,             0.81601,              0.8629,             0.62694,            0.021751,            0.019973,           0.0099188,           0.0022196,           0.0022196,           0.0022196
                  78,             0.02106,            0.030808,           0.0053927,             0.77571,             0.84963,             0.85466,             0.62899,            0.021506,            0.020182,            0.010426,           0.0021245,           0.0021245,           0.0021245
                  79,            0.019906,            0.026879,           0.0041708,             0.77986,             0.80354,              0.8399,             0.61873,            0.021791,            0.020479,            0.010816,           0.0020327,           0.0020327,           0.0020327
                  80,            0.020868,            0.029195,           0.0056803,             0.82778,             0.78876,             0.84932,             0.62613,            0.021934,            0.020361,           0.0097574,           0.0019443,           0.0019443,           0.0019443
                  81,            0.020325,            0.030278,           0.0037417,             0.83292,             0.80048,             0.86329,             0.63768,            0.021915,             0.02063,           0.0086222,           0.0018594,           0.0018594,           0.0018594
                  82,             0.02048,            0.027887,           0.0049519,             0.83812,             0.79344,             0.86933,             0.64206,            0.021889,             0.02043,           0.0086605,           0.0017781,           0.0017781,           0.0017781
                  83,            0.019724,            0.029772,           0.0042072,             0.81971,             0.80545,             0.85307,             0.63153,            0.021525,            0.020397,           0.0084025,           0.0017005,           0.0017005,           0.0017005
                  84,             0.01901,             0.02968,           0.0039072,             0.78484,             0.81637,             0.84347,             0.62552,            0.021848,             0.02052,           0.0089074,           0.0016267,           0.0016267,           0.0016267
                  85,            0.019417,            0.031209,           0.0038305,             0.74845,             0.84066,             0.83783,             0.62129,            0.022013,            0.020755,           0.0098997,           0.0015566,           0.0015566,           0.0015566
                  86,            0.020121,            0.033103,           0.0033962,             0.78031,             0.84037,             0.83877,             0.62585,            0.021889,            0.020482,            0.009944,           0.0014905,           0.0014905,           0.0014905
                  87,            0.020166,            0.034914,           0.0040368,             0.79989,             0.84327,             0.85483,             0.64043,            0.021691,             0.02019,           0.0095531,           0.0014283,           0.0014283,           0.0014283
                  88,            0.019696,            0.031502,           0.0037213,             0.81796,             0.83029,             0.86067,             0.64698,            0.021601,             0.02036,           0.0094612,           0.0013701,           0.0013701,           0.0013701
                  89,            0.019596,            0.025585,           0.0026812,             0.80444,             0.85204,             0.85469,             0.63612,            0.021445,             0.02001,            0.010022,            0.001316,            0.001316,            0.001316
                  90,            0.019504,            0.038641,           0.0032016,             0.81221,             0.84276,             0.85216,             0.63438,            0.021548,            0.020014,            0.010062,            0.001266,            0.001266,            0.001266
                  91,            0.019217,            0.020988,           0.0032343,             0.82278,             0.81786,             0.85308,             0.63645,            0.021328,            0.020234,            0.010099,           0.0012202,           0.0012202,           0.0012202
                  92,              0.0189,            0.026445,           0.0032794,             0.82156,             0.82958,             0.85602,             0.63826,            0.021356,            0.020167,           0.0098504,           0.0011787,           0.0011787,           0.0011787
                  93,            0.019701,            0.027815,           0.0037472,              0.8344,             0.81181,             0.85734,             0.64228,            0.021389,            0.019979,            0.010335,           0.0011414,           0.0011414,           0.0011414
                  94,            0.019485,            0.027755,           0.0048571,             0.83682,             0.81606,              0.8541,             0.64042,            0.021292,            0.019995,             0.01038,           0.0011084,           0.0011084,           0.0011084
                  95,            0.020085,            0.034012,           0.0033313,             0.83178,             0.80721,             0.85378,             0.63157,            0.021349,            0.020118,            0.010483,           0.0010797,           0.0010797,           0.0010797
                  96,            0.018698,            0.025264,           0.0038221,             0.83357,             0.80149,             0.84477,             0.62459,            0.021364,            0.020278,            0.010891,           0.0010554,           0.0010554,           0.0010554
                  97,             0.01968,            0.029906,           0.0035713,             0.81776,             0.81373,             0.85055,             0.63072,            0.021219,            0.020392,            0.010372,           0.0010355,           0.0010355,           0.0010355
                  98,            0.019686,            0.025443,           0.0028937,              0.7792,              0.8777,              0.8577,             0.63531,            0.021255,            0.020301,           0.0096431,             0.00102,             0.00102,             0.00102
                  99,            0.019443,             0.03024,             0.00334,             0.77766,              0.8709,             0.85544,             0.63775,            0.021211,            0.020298,            0.010137,           0.0010089,           0.0010089,           0.0010089
