               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,              0.0227,            0.035672,           0.0052073,             0.81656,             0.83126,             0.86062,             0.60769,            0.022727,            0.020213,           0.0083682,           0.0013701,           0.0013701,           0.0013701
                  89,            0.022574,            0.028459,           0.0043373,             0.81429,             0.83129,             0.86078,             0.61309,             0.02266,             0.02022,            0.008159,            0.001316,            0.001316,            0.001316
                  90,            0.022654,            0.043679,           0.0049432,             0.82761,              0.8184,               0.862,             0.61118,             0.02265,                0.02,           0.0086507,            0.001266,            0.001266,            0.001266
                  91,            0.022298,            0.024918,           0.0056575,             0.80123,             0.82237,             0.85667,             0.60847,             0.02266,            0.019883,            0.010136,           0.0012202,           0.0012202,           0.0012202
                  92,            0.021978,            0.030911,           0.0060208,             0.82153,             0.85006,             0.86211,             0.61591,            0.022527,            0.019892,           0.0084672,           0.0011787,           0.0011787,           0.0011787
                  93,            0.022587,            0.032027,           0.0051855,              0.8217,             0.85713,             0.86658,             0.61675,            0.022339,            0.019729,           0.0084929,           0.0011414,           0.0011414,           0.0011414
                  94,            0.022105,            0.032164,           0.0073464,             0.81796,             0.84308,             0.85514,             0.61045,            0.022704,             0.01997,           0.0086117,           0.0011084,           0.0011084,           0.0011084
                  95,             0.02302,            0.039237,           0.0070899,             0.80085,             0.85362,             0.85699,             0.61625,            0.022566,            0.019943,            0.008749,           0.0010797,           0.0010797,           0.0010797
                  96,            0.021213,            0.030313,           0.0053852,             0.81426,             0.84312,              0.8605,             0.61957,            0.022672,            0.020099,           0.0084195,           0.0010554,           0.0010554,           0.0010554
                  97,            0.022672,            0.033603,           0.0052817,              0.8093,             0.84191,             0.85879,             0.61079,            0.022504,             0.02012,           0.0086996,           0.0010355,           0.0010355,           0.0010355
                  98,            0.022427,            0.030321,           0.0052295,             0.78246,             0.88464,             0.86323,             0.61191,            0.022779,            0.020073,           0.0082841,             0.00102,             0.00102,             0.00102
                  99,            0.022469,            0.035803,           0.0061834,             0.80697,                0.84,             0.86087,             0.61135,            0.022587,            0.020019,           0.0083436,           0.0010089,           0.0010089,           0.0010089
